,FIPS,Trump,Biden,Total Votes
0,02000,189951.0,153778.0,357569.0
1,01001,19838.0,7503.0,27691.0
2,01003,83544.0,24578.0,109351.0
3,01005,5622.0,4816.0,10506.0
4,01007,7525.0,1986.0,9585.0
5,01009,24711.0,2640.0,27560.0
6,01011,1146.0,3446.0,4611.0
7,01013,5458.0,3965.0,9482.0
8,01015,35101.0,15216.0,50870.0
9,01017,8753.0,6365.0,15259.0
10,01019,10583.0,1624.0,12289.0
11,01021,16085.0,3073.0,19281.0
12,01023,4296.0,3127.0,7461.0
13,01025,7324.0,5755.0,13128.0
14,01027,5601.0,1267.0,6921.0
15,01029,6484.0,675.0,7219.0
16,01031,16899.0,5076.0,22239.0
17,01033,19203.0,8343.0,27818.0
18,01035,3442.0,2966.0,6440.0
19,01037,3631.0,1796.0,5473.0
20,01039,14586.0,2721.0,17404.0
21,01041,4864.0,1700.0,6608.0
22,01043,36880.0,4478.0,41776.0
23,01045,14303.0,5170.0,19706.0
24,01047,5524.0,12230.0,17844.0
25,01049,24767.0,4281.0,29298.0
26,01051,30164.0,10367.0,40929.0
27,01053,10869.0,4918.0,15881.0
28,01055,35528.0,11567.0,47626.0
29,01057,7300.0,1395.0,8751.0
30,01059,10376.0,2086.0,12568.0
31,01061,10848.0,1595.0,12533.0
32,01063,875.0,3884.0,4767.0
33,01065,3192.0,4663.0,7892.0
34,01067,6607.0,2606.0,9282.0
35,01069,32618.0,12917.0,46068.0
36,01071,19670.0,3717.0,23595.0
37,01073,138843.0,181688.0,324109.0
38,01075,6174.0,978.0,7185.0
39,01077,31721.0,11915.0,44173.0
40,01079,12322.0,3562.0,16010.0
41,01081,42221.0,27860.0,71100.0
42,01083,34640.0,13672.0,49060.0
43,01085,1836.0,4972.0,6834.0
44,01087,1541.0,7108.0,8701.0
45,01089,102780.0,87286.0,193765.0
46,01091,5343.0,5488.0,10890.0
47,01093,12205.0,1463.0,13783.0
48,01095,33191.0,5943.0,39569.0
49,01097,101243.0,79474.0,182655.0
50,01099,6147.0,4455.0,10655.0
51,01101,33311.0,64529.0,98763.0
52,01103,39664.0,13234.0,53603.0
53,01105,1339.0,3860.0,5223.0
54,01107,5594.0,4022.0,9656.0
55,01109,8042.0,5636.0,13812.0
56,01111,8559.0,2203.0,10823.0
57,01113,9864.0,11228.0,21290.0
58,01115,36166.0,7744.0,44356.0
59,01117,79700.0,33268.0,114430.0
60,01119,1598.0,4648.0,6283.0
61,01121,22235.0,13138.0,35620.0
62,01123,14963.0,5859.0,20952.0
63,01125,51117.0,37765.0,89809.0
64,01127,26002.0,4834.0,31113.0
65,01129,6564.0,2258.0,8867.0
66,01131,1833.0,4048.0,5898.0
67,01133,10195.0,974.0,11271.0
68,05001,4304.0,1818.0,6292.0
69,05003,5548.0,2125.0,7926.0
70,05005,15836.0,4635.0,21007.0
71,05007,73965.0,42249.0,119912.0
72,05009,13652.0,3064.0,17114.0
73,05011,2335.0,1214.0,3654.0
74,05013,1636.0,479.0,2182.0
