CD,Biden,Trump,pres_winner,house_winner,colour
AK-01,43.0,53.1,republican,republican,r
AL-01,35.3,63.7,republican,republican,r
AL-02,35.1,63.9,republican,republican,r
AL-03,33.7,65.3,republican,republican,r
AL-04,17.8,81.2,republican,republican,r
AL-05,35.7,62.7,republican,republican,r
AL-06,31.8,67.0,republican,republican,r
AL-07,70.8,28.5,democrat,democrat,b
AR-01,27.9,69.1,republican,republican,r
AR-02,44.3,53.1,republican,republican,r
AR-03,35.2,61.9,republican,republican,r
AR-04,29.6,67.7,republican,republican,r
AZ-01,50.1,48.4,democrat,democrat,b
AZ-02,54.5,43.9,democrat,democrat,b
AZ-03,62.8,35.7,democrat,democrat,b
AZ-04,30.6,68.0,republican,republican,r
AZ-05,41.9,56.4,republican,republican,r
AZ-06,47.3,51.4,republican,republican,r
AZ-07,73.7,24.7,democrat,democrat,b
AZ-08,41.4,57.3,republican,republican,r
AZ-09,60.8,37.3,democrat,democrat,b
CA-01,41.1,56.4,republican,republican,r
CA-02,73.6,23.9,democrat,democrat,b
CA-03,54.9,42.7,democrat,democrat,b
CA-04,43.9,53.7,republican,republican,r
CA-05,72.4,25.3,democrat,democrat,b
CA-06,70.3,27.2,democrat,democrat,b
CA-07,55.6,41.9,democrat,democrat,b
CA-08,43.6,54.0,republican,republican,r
CA-09,57.9,39.9,democrat,democrat,b
CA-10,50.3,47.4,democrat,democrat,b
CA-11,74.3,23.6,democrat,democrat,b
CA-12,86.1,11.9,democrat,democrat,b
CA-13,88.9,9.0,democrat,democrat,b
CA-14,77.7,20.5,democrat,democrat,b
CA-15,71.5,26.4,democrat,democrat,b
CA-16,58.8,38.9,democrat,democrat,b
CA-17,72.5,25.5,democrat,democrat,b
CA-18,76.4,21.3,democrat,democrat,b
CA-19,70.0,27.9,democrat,democrat,b
CA-20,72.7,25.0,democrat,democrat,b
CA-21,54.4,43.5,democrat,republican,m
CA-22,46.2,51.6,republican,republican,r
CA-23,40.5,57.1,republican,republican,r
CA-24,60.7,36.9,democrat,democrat,b
CA-25,54.0,43.9,democrat,republican,m
CA-26,61.4,36.5,democrat,democrat,b
CA-27,67.2,30.8,democrat,democrat,b
CA-28,70.9,27.2,democrat,democrat,b
CA-29,74.1,23.7,democrat,democrat,b
CA-30,68.7,29.4,democrat,democrat,b
CA-31,58.8,38.9,democrat,democrat,b
CA-32,65.2,32.8,democrat,democrat,b
CA-33,69.0,29.0,democrat,democrat,b
CA-34,80.8,16.9,democrat,democrat,b
CA-35,65.1,32.6,democrat,democrat,b
CA-36,55.9,42.3,democrat,democrat,b
CA-37,84.3,13.8,democrat,democrat,b
CA-38,65.6,32.3,democrat,democrat,b
CA-39,54.1,44.0,democrat,republican,m
CA-40,77.1,20.6,democrat,democrat,b
CA-41,61.7,36.1,democrat,democrat,b
CA-42,45.3,52.7,republican,republican,r
CA-43,76.9,20.9,democrat,democrat,b
CA-44,78.4,19.2,democrat,democrat,b
CA-45,54.6,43.3,democrat,democrat,b
CA-46,64.3,33.5,democrat,democrat,b
CA-47,62.4,35.3,democrat,democrat,b
CA-48,49.7,48.2,democrat,republican,m
CA-49,55.2,42.5,democrat,democrat,b
CA-50,45.0,52.7,republican,republican,r
CA-51,66.9,30.9,democrat,democrat,b
CA-52,63.4,34.2,democrat,democrat,b
CA-53,67.0,30.9,democrat,democrat,b
CO-01,75.6,22.1,democrat,democrat,b
CO-02,63.7,33.6,democrat,democrat,b
CO-03,46.1,51.6,republican,republican,r
CO-04,40.8,56.6,republican,republican,r
CO-05,41.8,54.7,republican,republican,r
CO-06,58.2,39.3,democrat,democrat,b
CO-07,60.0,37.1,democrat,democrat,b
CT-01,63.3,35.3,democrat,democrat,b
CT-02,54.5,43.5,democrat,democrat,b
CT-03,59.9,38.8,democrat,democrat,b
CT-04,64.2,34.5,democrat,democrat,b
CT-05,54.6,43.9,democrat,democrat,b
DE-01,58.8,39.8,democrat,democrat,b
FL-01,32.4,65.9,republican,republican,r
FL-02,32.0,67.0,republican,republican,r
FL-03,42.8,56.0,republican,republican,r
FL-04,38.9,59.9,republican,republican,r
FL-05,62.7,36.2,democrat,democrat,b
FL-06,40.8,58.3,republican,republican,r
FL-07,54.6,44.2,democrat,democrat,b
FL-08,40.6,58.3,republican,republican,r
FL-09,53.0,46.1,democrat,democrat,b
FL-10,62.0,37.0,democrat,democrat,b
FL-11,33.8,65.4,republican,republican,r
FL-12,41.0,57.9,republican,republican,r
FL-13,51.5,47.4,democrat,democrat,b
FL-14,57.2,41.6,democrat,democrat,b
FL-15,45.2,53.7,republican,republican,r
FL-16,45.5,53.6,republican,republican,r
FL-17,35.9,63.3,republican,republican,r
FL-18,45.5,53.9,republican,republican,r
FL-19,39.6,59.7,republican,republican,r
