id,Geographic Area Name,Population 18 to 24 years,Population 18 to 24 years w/ Bachelor's degree or higher,Population 25 years and over,Population 25 years and over w/ Bachelor's degree or higher,Degree_percent
0500000US01001,"Autauga County, Alabama",4665,427,37166,10291,0.256221463
0500000US01003,"Baldwin County, Alabama",15441,1357,146989,46075,0.292015022
0500000US01005,"Barbour County, Alabama",2173,67,18173,2220,0.112405387
0500000US01007,"Bibb County, Alabama",2088,21,15780,1813,0.102641594
0500000US01009,"Blount County, Alabama",4550,150,39627,5010,0.116802861
0500000US01011,"Bullock County, Alabama",1098,50,7104,945,0.121311875
0500000US01013,"Butler County, Alabama",1571,36,13888,2235,0.146904716
0500000US01015,"Calhoun County, Alabama",10767,747,79135,14219,0.166470156
0500000US01017,"Chambers County, Alabama",3256,124,23564,3118,0.12087994
0500000US01019,"Cherokee County, Alabama",1894,108,18673,2407,0.122283269
0500000US01021,"Chilton County, Alabama",3490,94,29793,4219,0.129585674
0500000US01023,"Choctaw County, Alabama",989,11,9436,1225,0.118561151
0500000US01025,"Clarke County, Alabama",2128,54,16870,2118,0.114327824
0500000US01027,"Clay County, Alabama",1274,0,9285,944,0.089402406
0500000US01029,"Cleburne County, Alabama",1055,23,10445,1428,0.126173913
0500000US01031,"Coffee County, Alabama",4215,370,34912,8175,0.218391392
0500000US01033,"Colbert County, Alabama",4249,194,38638,7236,0.173245972
0500000US01035,"Conecuh County, Alabama",1015,4,8848,949,0.096623745
0500000US01037,"Coosa County, Alabama",775,20,8230,953,0.108051083
0500000US01039,"Covington County, Alabama",2723,137,26438,3952,0.140221529
0500000US01041,"Crenshaw County, Alabama",1074,19,9675,1505,0.141780631
0500000US01043,"Cullman County, Alabama",6529,299,57212,7866,0.128096516
0500000US01045,"Dale County, Alabama",4367,322,33382,5690,0.159262497
0500000US01047,"Dallas County, Alabama",3649,133,26600,4021,0.137326854
0500000US01049,"DeKalb County, Alabama",5844,94,47876,6085,0.115022338
0500000US01051,"Elmore County, Alabama",7214,339,55759,13664,0.222365141
0500000US01053,"Escambia County, Alabama",3035,57,25965,3287,0.115310345
0500000US01055,"Etowah County, Alabama",8663,536,71995,12767,0.164930943
0500000US01057,"Fayette County, Alabama",1306,38,11717,1516,0.119327344
0500000US01059,"Franklin County, Alabama",2924,185,20812,2679,0.1206606
0500000US01061,"Geneva County, Alabama",2037,72,18598,2063,0.103464987
0500000US01063,"Greene County, Alabama",731,23,5833,589,0.093235832
0500000US01065,"Hale County, Alabama",1335,22,10071,1421,0.126512362
0500000US01067,"Henry County, Alabama",1370,65,12167,2187,0.166358868
0500000US01069,"Houston County, Alabama",8268,518,71698,15076,0.195007878
0500000US01071,"Jackson County, Alabama",3710,56,37225,5280,0.130352999
0500000US01073,"Jefferson County, Alabama",59502,7009,448732,145462,0.300001574
0500000US01075,"Lamar County, Alabama",975,34,9893,1235,0.116764814
0500000US01077,"Lauderdale County, Alabama",10634,773,63429,15185,0.215465212
0500000US01079,"Lawrence County, Alabama",2544,169,23395,2738,0.112070627
0500000US01081,"Lee County, Alabama",30097,3321,94988,32377,0.285389935
0500000US01083,"Limestone County, Alabama",7346,610,64294,16367,0.236976549
0500000US01085,"Lowndes County, Alabama",850,19,7056,996,0.128383506
0500000US01087,"Macon County, Alabama",3508,142,12135,2510,0.169532698
0500000US01089,"Madison County, Alabama",34580,3648,243785,101650,0.378273131
0500000US01091,"Marengo County, Alabama",1547,5,13523,2084,0.138619774
0500000US01093,"Marion County, Alabama",2295,49,21354,2806,0.120723921
0500000US01095,"Marshall County, Alabama",7847,401,63644,12233,0.176721545
0500000US01097,"Mobile County, Alabama",38623,2736,277699,63703,0.210035976
0500000US01099,"Monroe County, Alabama",1836,156,14756,2078,0.134643202
0500000US01101,"Montgomery County, Alabama",23230,1577,150042,48131,0.286878434
0500000US01103,"Morgan County, Alabama",9477,416,82261,17849,0.19909961
0500000US01105,"Perry County, Alabama",1602,17,5815,913,0.125387623
0500000US01107,"Pickens County, Alabama",1731,59,14565,1959,0.12383407
0500000US01109,"Pike County, Alabama",7606,737,19258,4536,0.196284991
0500000US01111,"Randolph County, Alabama",1922,91,15738,2350,0.138221971
0500000US01113,"Russell County, Alabama",4905,227,38950,6438,0.15197811
0500000US01115,"St. Clair County, Alabama",6610,233,60698,9991,0.151898734
0500000US01117,"Shelby County, Alabama",17228,1637,143422,60424,0.386311858
0500000US01119,"Sumter County, Alabama",2605,66,7858,1715,0.170218866
0500000US01121,"Talladega County, Alabama",7095,240,56122,8017,0.130613601
0500000US01123,"Tallapoosa County, Alabama",3480,97,28582,5244,0.166583494
0500000US01125,"Tuscaloosa County, Alabama",35483,2616,127554,38669,0.253224728
0500000US01127,"Walker County, Alabama",5166,104,44974,5204,0.105863582
0500000US01129,"Washington County, Alabama",1471,21,11469,1276,0.100231839
0500000US01131,"Wilcox County, Alabama",963,17,7204,901,0.112403575
0500000US01133,"Winston County, Alabama",1699,46,17184,2326,0.125615633
0500000US02013,"Aleutians East Borough, Alaska",300,20,2637,336,0.121212121
0500000US02016,"Aleutians West Census Area, Alaska",680,68,4107,675,0.155212033
0500000US02020,"Anchorage Municipality, Alaska",30921,2465,191994,67719,0.314846466
0500000US02050,"Bethel Census Area, Alaska",1916,38,9677,1194,0.106271026
0500000US02060,"Bristol Bay Borough, Alaska",51,4,645,144,0.212643678
0500000US02068,"Denali Borough, Alaska",374,7,1601,697,0.356455696
0500000US02070,"Dillingham Census Area, Alaska",537,19,2902,559,0.168072114
0500000US02090,"Fairbanks North Star Borough, Alaska",13660,1178,61838,20152,0.28252404
0500000US02100,"Haines Borough, Alaska",88,1,1872,701,0.358163265
0500000US02105,"Hoonah-Angoon Census Area, Alaska",122,0,1680,393,0.21809101
0500000US02110,"Juneau City and Borough, Alaska",2869,272,22479,8879,0.361014676
0500000US02122,"Kenai Peninsula Borough, Alaska",4664,315,40277,9378,0.215682784
0500000US02130,"Ketchikan Gateway Borough, Alaska",1144,70,9580,2343,0.225009325
0500000US02150,"Kodiak Island Borough, Alaska",1291,67,8784,2285,0.233449132
