CD,Biden,Trump,house_winner
AL-01,117136,211370,republican
AL-02,107776,195953,republican
AL-03,109495,212012,republican
AL-04,57133,260535,republican
AL-05,129812,228398,republican
AL-06,117582,248134,republican
AL-07,210689,84768,democrat
AK-01,153778,189951,republican
AZ-01,187182,180673,democrat
AZ-02,213408,171803,democrat
AZ-03,174882,99539,democrat
AZ-04,126024,280122,republican
AZ-05,195270,262810,republican
AZ-06,204365,222166,republican
AZ-07,165129,55436,democrat
AZ-08,181691,251443,republican
AZ-09,224192,137694,democrat
AR-01,75898,187640,republican
AR-02,147552,177053,republican
AR-03,118142,207781,republican
AR-04,82340,188173,republican
CA-01,148436,203557,republican
CA-02,294489,95658,democrat
CA-03,179806,139735,democrat
CA-04,197157,240869,republican
CA-05,264125,92100,democrat
CA-06,225218,87284,democrat
CA-07,218137,164052,democrat
CA-08,127769,158451,republican
CA-09,180100,124102,democrat
CA-10,154990,146084,democrat
CA-11,285019,90516,democrat
CA-12,337517,46574,democrat
CA-13,335474,33907,democrat
CA-14,279708,73798,democrat
CA-15,255430,94394,democrat
CA-16,129458,85647,democrat
CA-17,224903,79260,democrat
CA-18,294545,82172,democrat
CA-19,228232,91063,democrat
CA-20,226505,77969,democrat
CA-21,93560,74859,republican
CA-22,146467,163584,republican
CA-23,125068,176413,republican
CA-24,221831,134810,democrat
CA-25,188421,153161,republican
CA-26,216840,128914,democrat
CA-27,226666,104088,democrat
CA-28,252705,97112,democrat
CA-29,186796,59671,democrat
CA-30,258910,110935,democrat
CA-31,174178,115221,democrat
CA-32,184978,93155,democrat
CA-33,285906,120287,democrat
CA-34,193874,40552,democrat
CA-35,166339,83352,democrat
CA-36,173573,131304,democrat
CA-37,275573,45202,democrat
CA-38,207000,101867,democrat
CA-39,190090,154439,republican
CA-40,156662,41875,democrat
CA-41,164574,96428,democrat
CA-42,170481,198259,republican
CA-43,224694,61138,democrat
CA-44,188767,46174,democrat
CA-45,228624,181306,democrat
CA-46,150186,78247,democrat
CA-47,203636,115161,democrat
CA-48,199791,193832,republican
CA-49,217061,167049,democrat
CA-50,166841,195430,republican
CA-51,166351,76843,democrat
CA-52,257923,139172,democrat
CA-53,258866,119398,democrat
CO-01,357849,104539,democrat
CO-02,338261,178561,democrat
CO-03,200886,224996,republican
CO-04,198971,276309,republican
CO-05,184301,241369,republican
CO-06,260642,175729,democrat
CO-07,263442,163104,democrat
CT-01,229220,127803,democrat
CT-02,205779,164461,democrat
CT-03,212317,137580,democrat
CT-04,237245,127566,democrat
CT-05,196119,157881,democrat
DE-01,296268,200603,democrat
FL-01,143654,292019,republican
FL-02,125746,263499,republican
FL-03,170433,223087,republican
FL-04,198414,305935,republican
FL-05,214891,123978,democrat
FL-06,184607,263644,republican
FL-07,226505,183414,democrat
FL-08,189808,272109,republican
FL-09,232318,201924,democrat
FL-10,236868,141377,democrat
FL-11,164285,318054,republican
FL-12,188631,266291,republican
FL-13,211530,194721,democrat
FL-14,217176,158027,democrat
FL-15,179793,213736,republican
FL-16,223366,262840,republican
FL-17,151888,267579,republican
FL-18,206388,244705,republican
FL-19,180723,272764,republican
FL-20,254644,72814,democrat
FL-21,239322,169556,democrat
FL-22,236393,174889,democrat
FL-23,227941,161030,democrat
FL-24,225289,71621,democrat
FL-25,123435,197678,republican
FL-26,164356,184019,republican
FL-27,178643,167420,republican
GA-01,143567,184846,republican
GA-02,154980,120719,democrat
GA-03,140226,235998,republican
GA-04,281735,72392,democrat
GA-05,313058,45921,democrat
GA-06,219611,175110,democrat
GA-07,199144,175210,democrat
GA-08,116914,195867,republican
GA-09,85481,291992,republican
GA-10,151656,230789,republican
GA-11,171653,234930,republican
GA-12,136638,177142,republican
GA-13,277999,85930,democrat
GA-14,80973,235008,republican
HI-01,179337,96924,democrat
HI-02,186793,99940,democrat
ID-01,140452,313559,republican
ID-02,146569,240560,republican
IL-01,246996,82547,democrat
IL-02,236646,64866,democrat
IL-03,175910,135879,democrat
IL-04,184635,39582,democrat
IL-05,267640,96630,democrat
IL-06,226804,174833,democrat
IL-07,274302,38441,democrat
IL-08,171850,113157,democrat
IL-09,269573,104091,democrat
IL-10,207380,109734,democrat
IL-11,195556,114240,democrat
IL-12,137911,184811,republican
IL-13,158853,170549,republican
IL-14,203738,193886,democrat
IL-15,88678,246921,republican
IL-16,140938,196244,republican
IL-17,145977,150775,democrat
IL-18,138526,229704,republican
IN-01,177630,148554,democrat
IN-02,116794,178385,republican
IN-03,112346,211169,republican
IN-04,117232,220013,republican
IN-05,200376,209669,republican
IN-06,96502,228217,republican
IN-07,177925,99811,democrat
IN-08,108025,212185,republican
IN-09,135586,221516,republican
IA-01,199259,213601,republican
IA-02,193437,209858,republican
IA-03,224159,224726,democrat
IA-04,142206,249487,republican
KS-01,83890,207727,republican
KS-02,140303,191030,republican
KS-03,223114,179583,democrat
KS-04,123016,193066,republican
KY-01,85228,244122,republican
KY-02,111859,246865,republican
KY-03,221843,141027,democrat
KY-04,129335,250481,republican
KY-05,56153,241712,republican
KY-06,168056,202439,republican
LA-01,118270,266928,republican
LA-02,260587,79570,democrat
LA-03,107448,242738,republican
LA-04,121500,201823,republican
LA-05,113682,215064,republican
LA-06,134547,249652,republican
ME-01,266376,164045,democrat
ME-02,168696,196692,democrat
MD-01,157430,236906,republican
MD-02,225433,110901,democrat
MD-03,263027,112328,democrat
MD-04,286724,69533,democrat
MD-05,276896,119771,democrat
MD-06,227214,140735,democrat
MD-07,261237,66703,democrat
MD-08,287062,119537,democrat
MA-01,224939,135655,democrat
MA-02,240547,140377,democrat
MA-03,243303,132757,democrat
MA-04,276820,144654,democrat
MA-05,304072,97562,democrat
MA-06,279782,159252,democrat
MA-07,276091,43074,democrat
MA-08,283426,137738,democrat
MA-09,253222,176133,democrat
MI-01,171402,244455,republican
MI-02,177044,225408,republican
MI-03,194575,207762,republican
MI-04,142631,234439,republican
MI-05,189227,173212,democrat
MI-06,180142,197508,republican
MI-07,164941,224583,republican
MI-08,212085,215649,democrat
MI-09,229258,175081,democrat
MI-10,146887,273871,republican
MI-11,237696,216799,democrat
MI-12,251770,134892,democrat
MI-13,229535,58162,democrat
MI-14,276847,68031,democrat
MN-01,164139,202121,republican
MN-02,226589,197005,democrat
MN-03,265552,178221,democrat
MN-04,273197,123295,democrat
MN-05,328766,72323,democrat
MN-06,165370,251056,republican
MN-07,126528,234753,republican
MN-08,166936,225291,republican
MS-01,115883,222359,republican
MS-02,191329,105700,democrat
MS-03,135455,210649,republican
MS-04,96731,218056,republican
MO-01,257909,58280,democrat
MO-02,222349,222464,republican
MO-03,130857,279373,republican
MO-04,117975,243844,republican
MO-05,208696,141661,democrat
MO-06,137268,248374,republican
MO-07,105855,263623,republican
MO-08,72104,261118,republican
MT-01,244786,343602,republican
NE-01,132261,180290,republican
NE-02,176468,154377,republican
NE-03,65854,222179,republican
NV-01,143424,84976,democrat
NV-02,171024,210255,republican
NV-03,214181,213302,democrat
NV-04,174857,161358,democrat
NH-01,213662,188999,democrat
NH-02,211275,176661,democrat
NJ-01,242214,142822,democrat
NJ-02,183250,194366,republican
NJ-03,217222,218016,democrat
NJ-04,191273,236896,republican
NJ-05,224937,202419,democrat
NJ-06,191464,138919,democrat
NJ-07,239105,195248,democrat
NJ-08,186226,66034,democrat
NJ-09,200019,118376,democrat
NJ-10,250412,49592,democrat
