CD,Biden,Trump
AL-01,117136,211370
AL-02,107776,195953
AL-03,109495,212012
AL-04,57133,260535
AL-05,129812,228398
AL-06,117582,248134
AL-07,210689,84768
AK-01,153778,189951
AZ-01,187182,180673
AZ-02,213408,171803
AZ-03,174882,99539
AZ-04,126024,280122
AZ-05,195270,262810
AZ-06,204365,222166
AZ-07,165129,55436
AZ-08,181691,251443
AZ-09,224192,137694
AR-01,75898,187640
AR-02,147552,177053
AR-03,118142,207781
AR-04,82340,188173
CA-01,148436,203557
CA-02,294489,95658
CA-03,179806,139735
CA-04,197157,240869
CA-05,264125,92100
CA-06,225218,87284
CA-07,218137,164052
CA-08,127769,158451
CA-09,180100,124102
CA-10,154990,146084
CA-11,285019,90516
CA-12,337517,46574
CA-13,335474,33907
CA-14,279708,73798
CA-15,255430,94394
CA-16,129458,85647
CA-17,224903,79260
CA-18,294545,82172
CA-19,228232,91063
CA-20,226505,77969
CA-21,93560,74859
CA-22,146467,163584
CA-23,125068,176413
CA-24,221831,134810
CA-25,188421,153161
CA-26,216840,128914
CA-27,226666,104088
CA-28,252705,97112
CA-29,186796,59671
CA-30,258910,110935
CA-31,174178,115221
CA-32,184978,93155
CA-33,285906,120287
CA-34,193874,40552
CA-35,166339,83352
CA-36,173573,131304
CA-37,275573,45202
CA-38,207000,101867
CA-39,190090,154439
CA-40,156662,41875
CA-41,164574,96428
CA-42,170481,198259
CA-43,224694,61138
CA-44,188767,46174
CA-45,228624,181306
CA-46,150186,78247
CA-47,203636,115161
CA-48,199791,193832
CA-49,217061,167049
CA-50,166841,195430
CA-51,166351,76843
CA-52,257923,139172
CA-53,258866,119398
CO-01,357849,104539
CO-02,338261,178561
CO-03,200886,224996
CO-04,198971,276309
CO-05,184301,241369
CO-06,260642,175729
CO-07,263442,163104
CT-01,229220,127803
CT-02,205779,164461
CT-03,212317,137580
CT-04,237245,127566
CT-05,196119,157881
DE-01,296268,200603
FL-01,143654,292019
FL-02,125746,263499
FL-03,170433,223087
FL-04,198414,305935
FL-05,214891,123978
FL-06,184607,263644
FL-07,226505,183414
FL-08,189808,272109
FL-09,232318,201924
FL-10,236868,141377
FL-11,164285,318054
FL-12,188631,266291
FL-13,211530,194721
FL-14,217176,158027
FL-15,179793,213736
FL-16,223366,262840
FL-17,151888,267579
FL-18,206388,244705
FL-19,180723,272764
FL-20,254644,72814
FL-21,239322,169556
FL-22,236393,174889
FL-23,227941,161030
FL-24,225289,71621
FL-25,123435,197678
FL-26,164356,184019
FL-27,178643,167420
GA-01,143567,184846
GA-02,154980,120719
GA-03,140226,235998
GA-04,281735,72392
GA-05,313058,45921
GA-06,219611,175110
GA-07,199144,175210
GA-08,116914,195867
GA-09,85481,291992
GA-10,151656,230789
GA-11,171653,234930
GA-12,136638,177142
GA-13,277999,85930
GA-14,80973,235008
HI-01,179337,96924
HI-02,186793,99940
ID-01,140452,313559
ID-02,146569,240560
IL-01,246996,82547
IL-02,236646,64866
IL-03,175910,135879
IL-04,184635,39582
IL-05,267640,96630
IL-06,226804,174833
IL-07,274302,38441
IL-08,171850,113157
IL-09,269573,104091
IL-10,207380,109734
IL-11,195556,114240
IL-12,137911,184811
IL-13,158853,170549
IL-14,203738,193886
IL-15,88678,246921
IL-16,140938,196244
IL-17,145977,150775
IL-18,138526,229704
IN-01,177630,148554
IN-02,116794,178385
IN-03,112346,211169
IN-04,117232,220013
IN-05,200376,209669
IN-06,96502,228217
IN-07,177925,99811
IN-08,108025,212185
IN-09,135586,221516
IA-01,199259,213601
IA-02,193437,209858
IA-03,224159,224726
IA-04,142206,249487
KS-01,83890,207727
KS-02,140303,191030
KS-03,223114,179583
KS-04,123016,193066
KY-01,85228,244122
KY-02,111859,246865
KY-03,221843,141027
KY-04,129335,250481
KY-05,56153,241712
KY-06,168056,202439
LA-01,118270,266928
LA-02,260587,79570
LA-03,107448,242738
LA-04,121500,201823
LA-05,113682,215064
LA-06,134547,249652
ME-01,266376,164045
ME-02,168696,196692
MD-01,157430,236906
MD-02,225433,110901
MD-03,263027,112328
MD-04,286724,69533
MD-05,276896,119771
MD-06,227214,140735
MD-07,261237,66703
MD-08,287062,119537
MA-01,224939,135655
MA-02,240547,140377
MA-03,243303,132757
MA-04,276820,144654
MA-05,304072,97562
MA-06,279782,159252
MA-07,276091,43074
MA-08,283426,137738
MA-09,253222,176133
MI-01,171402,244455
MI-02,177044,225408
MI-03,194575,207762
MI-04,142631,234439
MI-05,189227,173212
MI-06,180142,197508
MI-07,164941,224583
MI-08,212085,215649
MI-09,229258,175081
MI-10,146887,273871
MI-11,237696,216799
MI-12,251770,134892
MI-13,229535,58162
MI-14,276847,68031
