AD,ED,Candidate,Votes
65,1,Public Counter,393
65,1,Manually Counted Emergency,0
65,1,Absentee / Military,263
65,1,Federal,7
65,1,Special Presidential,0
65,1,Affidavit,15
65,1,Joseph R. Biden / Kamala D. Harris (Democratic),516
65,1,Donald J. Trump / Michael R. Pence (Republican),101
65,1,Donald J. Trump / Michael R. Pence (Conservative),9
65,1,Joseph R. Biden / Kamala D. Harris (Working Families),36
65,1,Howie Hawkins / Angela Nicole Walker (Green),2
65,1,Jo Jorgensen / Jeremy Cohen (Libertarian),8
65,1,Brock Pierce / Karla Ballard (Independence),1
65,1,Scattered,4
65,2,Public Counter,431
65,2,Manually Counted Emergency,0
65,2,Absentee / Military,281
65,2,Federal,17
65,2,Special Presidential,0
65,2,Affidavit,24
65,2,Joseph R. Biden / Kamala D. Harris (Democratic),571
65,2,Donald J. Trump / Michael R. Pence (Republican),109
65,2,Donald J. Trump / Michael R. Pence (Conservative),7
65,2,Joseph R. Biden / Kamala D. Harris (Working Families),43
65,2,Howie Hawkins / Angela Nicole Walker (Green),2
65,2,Jo Jorgensen / Jeremy Cohen (Libertarian),10
65,2,Brock Pierce / Karla Ballard (Independence),0
65,2,Scattered,6
65,3,Public Counter,392
65,3,Manually Counted Emergency,0
65,3,Absentee / Military,338
65,3,Federal,19
65,3,Special Presidential,0
65,3,Affidavit,6
65,3,Joseph R. Biden / Kamala D. Harris (Democratic),610
65,3,Donald J. Trump / Michael R. Pence (Republican),85
65,3,Donald J. Trump / Michael R. Pence (Conservative),6
65,3,Joseph R. Biden / Kamala D. Harris (Working Families),41
65,3,Howie Hawkins / Angela Nicole Walker (Green),1
65,3,Jo Jorgensen / Jeremy Cohen (Libertarian),4
65,3,Brock Pierce / Karla Ballard (Independence),1
65,3,Scattered,4
65,4,Public Counter,363
65,4,Manually Counted Emergency,0
65,4,Absentee / Military,293
65,4,Federal,26
65,4,Special Presidential,0
65,4,Affidavit,13
65,4,Joseph R. Biden / Kamala D. Harris (Democratic),554
65,4,Donald J. Trump / Michael R. Pence (Republican),86
65,4,Donald J. Trump / Michael R. Pence (Conservative),6
65,4,Joseph R. Biden / Kamala D. Harris (Working Families),30
65,4,Howie Hawkins / Angela Nicole Walker (Green),1
65,4,Jo Jorgensen / Jeremy Cohen (Libertarian),12
65,4,Brock Pierce / Karla Ballard (Independence),0
65,4,Scattered,1
65,5,Public Counter,269
65,5,Manually Counted Emergency,0
65,5,Absentee / Military,101
65,5,Federal,13
65,5,Special Presidential,0
65,5,Affidavit,12
65,5,Joseph R. Biden / Kamala D. Harris (Democratic),304
65,5,Donald J. Trump / Michael R. Pence (Republican),65
65,5,Donald J. Trump / Michael R. Pence (Conservative),1
65,5,Joseph R. Biden / Kamala D. Harris (Working Families),19
65,5,Howie Hawkins / Angela Nicole Walker (Green),0
65,5,Jo Jorgensen / Jeremy Cohen (Libertarian),4
65,5,Brock Pierce / Karla Ballard (Independence),0
65,5,Scattered,1
65,6,Public Counter,442
65,6,Manually Counted Emergency,0
65,6,Absentee / Military,182
65,6,Federal,15
65,6,Special Presidential,0
65,6,Affidavit,3
65,6,Joseph R. Biden / Kamala D. Harris (Democratic),459
65,6,Donald J. Trump / Michael R. Pence (Republican),124
65,6,Donald J. Trump / Michael R. Pence (Conservative),4
65,6,Joseph R. Biden / Kamala D. Harris (Working Families),39
65,6,Howie Hawkins / Angela Nicole Walker (Green),2
65,6,Jo Jorgensen / Jeremy Cohen (Libertarian),6
65,6,Brock Pierce / Karla Ballard (Independence),0
65,6,Scattered,4
65,7,Public Counter,437
65,7,Manually Counted Emergency,0
65,7,Absentee / Military,151
65,7,Federal,4
65,7,Special Presidential,0
65,7,Affidavit,6
65,7,Joseph R. Biden / Kamala D. Harris (Democratic),350
65,7,Donald J. Trump / Michael R. Pence (Republican),164
65,7,Donald J. Trump / Michael R. Pence (Conservative),15
65,7,Joseph R. Biden / Kamala D. Harris (Working Families),61
65,7,Howie Hawkins / Angela Nicole Walker (Green),0
65,7,Jo Jorgensen / Jeremy Cohen (Libertarian),3
65,7,Brock Pierce / Karla Ballard (Independence),0
65,7,Scattered,2
65,8,Public Counter,542
65,8,Manually Counted Emergency,0
65,8,Absentee / Military,211
65,8,Federal,8
65,8,Special Presidential,0
65,8,Affidavit,3
65,8,Joseph R. Biden / Kamala D. Harris (Democratic),459
65,8,Donald J. Trump / Michael R. Pence (Republican),205
65,8,Donald J. Trump / Michael R. Pence (Conservative),9
65,8,Joseph R. Biden / Kamala D. Harris (Working Families),77
65,8,Howie Hawkins / Angela Nicole Walker (Green),7
65,8,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,8,Brock Pierce / Karla Ballard (Independence),1
65,8,Scattered,1
65,9,Public Counter,281
65,9,Manually Counted Emergency,0
65,9,Absentee / Military,149
65,9,Federal,10
65,9,Special Presidential,0
65,9,Affidavit,8
65,9,Joseph R. Biden / Kamala D. Harris (Democratic),337
65,9,Donald J. Trump / Michael R. Pence (Republican),53
65,9,Donald J. Trump / Michael R. Pence (Conservative),5
65,9,Joseph R. Biden / Kamala D. Harris (Working Families),39
65,9,Howie Hawkins / Angela Nicole Walker (Green),5
65,9,Jo Jorgensen / Jeremy Cohen (Libertarian),3
65,9,Brock Pierce / Karla Ballard (Independence),4
65,9,Scattered,2
65,10,Public Counter,383
65,10,Manually Counted Emergency,0
65,10,Absentee / Military,230
65,10,Federal,17
65,10,Special Presidential,0
65,10,Affidavit,5
65,10,Joseph R. Biden / Kamala D. Harris (Democratic),497
65,10,Donald J. Trump / Michael R. Pence (Republican),60
65,10,Donald J. Trump / Michael R. Pence (Conservative),4
65,10,Joseph R. Biden / Kamala D. Harris (Working Families),51
65,10,Howie Hawkins / Angela Nicole Walker (Green),4
65,10,Jo Jorgensen / Jeremy Cohen (Libertarian),4
65,10,Brock Pierce / Karla Ballard (Independence),2
65,10,Scattered,6
65,11,Public Counter,339
65,11,Manually Counted Emergency,0
65,11,Absentee / Military,224
65,11,Federal,11
65,11,Special Presidential,0
65,11,Affidavit,14
65,11,Joseph R. Biden / Kamala D. Harris (Democratic),459
65,11,Donald J. Trump / Michael R. Pence (Republican),79
65,11,Donald J. Trump / Michael R. Pence (Conservative),7
65,11,Joseph R. Biden / Kamala D. Harris (Working Families),30
65,11,Howie Hawkins / Angela Nicole Walker (Green),0
65,11,Jo Jorgensen / Jeremy Cohen (Libertarian),4
65,11,Brock Pierce / Karla Ballard (Independence),2
65,11,Scattered,6
65,12,Public Counter,442
65,12,Manually Counted Emergency,0
65,12,Absentee / Military,213
65,12,Federal,8
65,12,Special Presidential,0
65,12,Affidavit,3
65,12,Joseph R. Biden / Kamala D. Harris (Democratic),486
65,12,Donald J. Trump / Michael R. Pence (Republican),112
65,12,Donald J. Trump / Michael R. Pence (Conservative),5
65,12,Joseph R. Biden / Kamala D. Harris (Working Families),48
65,12,Howie Hawkins / Angela Nicole Walker (Green),3
65,12,Jo Jorgensen / Jeremy Cohen (Libertarian),9
65,12,Brock Pierce / Karla Ballard (Independence),1
65,12,Scattered,2
65,13,Public Counter,437
65,13,Manually Counted Emergency,0
65,13,Absentee / Military,178
65,13,Federal,5
65,13,Special Presidential,0
65,13,Affidavit,2
65,13,Joseph R. Biden / Kamala D. Harris (Democratic),450
65,13,Donald J. Trump / Michael R. Pence (Republican),115
65,13,Donald J. Trump / Michael R. Pence (Conservative),3
65,13,Joseph R. Biden / Kamala D. Harris (Working Families),41
65,13,Howie Hawkins / Angela Nicole Walker (Green),2
65,13,Jo Jorgensen / Jeremy Cohen (Libertarian),4
65,13,Brock Pierce / Karla Ballard (Independence),0
65,13,Scattered,2
65,14,Public Counter,467
65,14,Manually Counted Emergency,0
65,14,Absentee / Military,319
65,14,Federal,35
65,14,Special Presidential,0
65,14,Affidavit,6
65,14,Joseph R. Biden / Kamala D. Harris (Democratic),598
65,14,Donald J. Trump / Michael R. Pence (Republican),153
65,14,Donald J. Trump / Michael R. Pence (Conservative),11
65,14,Joseph R. Biden / Kamala D. Harris (Working Families),43
65,14,Howie Hawkins / Angela Nicole Walker (Green),3
65,14,Jo Jorgensen / Jeremy Cohen (Libertarian),12
65,14,Brock Pierce / Karla Ballard (Independence),0
65,14,Scattered,4
65,15,Public Counter,435
65,15,Manually Counted Emergency,0
65,15,Absentee / Military,230
65,15,Federal,19
65,15,Special Presidential,0
65,15,Affidavit,5
65,15,Joseph R. Biden / Kamala D. Harris (Democratic),508
