ad,ed,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein
23,1,0,1,12,12,12,1,0,50,36,0,4,30,0,0
23,2,1,1,11,9,11,1,1,43,34,0,3,45,0,1
23,3,0,2,10,9,9,0,1,28,33,0,5,29,1,1
23,4,0,0,2,3,1,0,0,14,5,0,2,5,0,0
23,5,0,1,6,9,13,0,0,60,27,0,0,28,0,1
23,6,0,0,15,6,13,0,1,61,55,0,4,16,0,1
23,7,1,2,5,17,9,0,1,55,37,0,5,28,0,1
23,8,1,3,16,7,17,1,3,75,34,0,6,31,0,0
23,9,0,2,10,6,6,2,0,59,30,0,6,22,0,0
23,10,1,4,14,2,12,0,3,42,36,1,3,21,0,2
23,11,3,2,13,1,19,1,0,54,26,0,4,34,0,0
23,12,0,4,8,4,37,2,1,31,32,0,5,20,2,1
23,13,0,7,10,3,20,2,1,36,53,1,5,26,2,3
23,14,1,4,13,1,18,0,3,66,48,0,6,27,2,2
23,15,0,3,11,2,18,0,0,16,47,0,4,26,0,0
23,16,0,2,8,5,11,1,2,13,51,1,5,17,0,0
23,17,1,6,7,10,25,0,0,18,61,1,3,9,1,0
23,18,1,4,0,1,28,0,2,11,60,2,8,16,1,1
23,19,0,2,5,0,17,3,0,21,40,0,1,24,0,0
23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,21,1,4,14,4,47,3,0,40,52,0,6,23,0,0
23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,0,2,3,2,2,0,2,4,27,1,3,8,0,0
23,24,0,0,0,2,25,0,0,3,85,0,4,8,0,0
23,25,1,2,2,1,5,0,1,4,122,0,1,16,0,0
23,26,4,6,5,8,24,0,1,6,105,3,7,16,1,0
23,27,0,0,1,3,0,1,0,9,251,0,0,17,0,2
23,28,0,2,1,1,0,0,0,9,151,0,1,15,0,2
23,29,0,7,3,5,12,0,0,5,95,1,1,6,0,1
23,30,2,2,5,4,11,0,1,5,85,0,0,4,0,0
23,31,1,8,1,2,17,0,0,6,121,3,2,10,0,0
23,32,0,1,4,3,17,0,1,9,71,0,2,1,0,1
23,33,0,2,2,4,24,1,0,6,110,0,5,7,0,0
23,34,1,3,4,4,20,0,0,0,81,0,4,3,0,1
23,35,0,1,4,5,18,1,0,5,101,2,2,6,0,0
23,36,0,0,5,7,16,0,2,5,143,0,5,13,0,0
23,37,1,1,6,6,21,1,0,12,151,3,5,17,0,0
23,38,0,0,0,0,4,0,0,3,10,0,1,1,2,0
23,39,0,0,2,2,8,0,0,13,231,0,0,22,0,1
23,40,1,1,7,4,8,1,1,57,29,0,3,18,0,0
23,41,1,4,5,1,11,0,0,28,15,0,2,12,0,1
23,42,2,1,7,4,15,0,0,6,97,0,5,10,2,0
23,43,2,4,4,0,6,0,0,5,24,0,1,15,0,1
23,44,0,0,7,1,2,0,0,13,10,0,1,20,0,0
23,45,0,2,7,1,2,0,0,17,22,0,9,13,0,0
23,46,0,1,7,2,6,0,0,22,19,0,1,16,0,0
23,47,0,0,2,0,1,0,0,16,26,0,1,8,0,0
23,48,0,1,4,1,2,0,0,11,6,0,3,9,0,0
23,49,1,1,2,2,10,0,2,28,28,0,3,17,0,0
23,50,0,5,6,3,10,0,1,25,19,1,4,17,0,1
23,51,0,0,6,5,9,0,0,26,24,0,7,16,0,0
23,52,0,0,12,4,5,1,0,25,25,0,0,18,0,1
23,53,0,2,6,2,14,1,1,14,34,0,6,27,1,0
23,54,1,4,10,2,13,0,1,14,27,0,3,21,1,0
23,55,2,7,7,4,8,2,0,14,29,0,3,24,1,0
23,56,4,5,9,1,9,0,1,13,32,0,3,21,0,1
23,57,5,11,9,2,16,0,2,23,25,0,5,30,1,1
23,58,7,6,10,1,11,1,2,18,42,0,3,24,0,0
23,59,0,9,6,4,20,2,1,21,29,0,2,11,0,1
23,60,1,6,6,1,14,0,0,23,31,0,12,10,1,0
23,61,2,5,15,3,12,0,3,22,38,0,3,17,0,4
23,62,2,0,24,4,16,1,0,31,40,0,5,21,0,1
23,63,0,6,12,3,9,0,0,21,44,0,5,12,0,1
23,64,0,0,16,5,16,1,0,40,31,0,6,21,0,0
23,65,1,1,10,2,21,1,2,19,33,0,2,18,1,0
23,66,2,2,5,0,12,0,1,10,26,0,1,18,1,0
23,67,9,6,6,1,18,0,1,7,25,0,1,17,2,0
23,68,6,5,3,4,18,0,3,8,38,0,3,17,1,0
23,69,2,3,3,1,12,0,2,13,28,0,1,15,1,0
23,70,3,7,2,1,12,0,0,9,19,0,5,9,0,0
23,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,84,1,2,6,0,8,0,4,16,21,1,3,10,0,0
23,85,0,4,8,7,21,2,3,29,38,0,10,11,0,0
23,86,0,1,2,3,10,0,1,16,56,0,4,9,0,1
23,87,1,6,11,0,33,3,1,21,23,1,4,10,1,2
23,88,0,1,2,0,11,0,0,8,66,0,1,12,0,0
23,89,0,8,9,2,12,0,1,11,24,0,2,15,1,2
23,90,1,0,5,2,5,0,0,13,19,1,2,15,0,2
23,91,0,0,0,0,0,0,0,0,5,0,1,3,0,0
23,92,1,5,12,6,9,0,0,57,19,0,3,22,1,0
23,93,1,6,10,5,10,0,0,15,25,0,5,14,0,0
24,1,0,2,8,1,7,0,2,26,19,0,4,15,3,0
24,2,5,7,18,7,28,0,0,38,31,0,15,46,0,0
24,3,2,2,18,3,29,0,0,22,37,0,4,19,1,0
24,4,2,2,9,1,16,2,0,18,33,0,3,18,1,4
24,5,2,2,20,6,22,0,3,29,28,0,11,43,3,0
24,6,7,7,14,7,27,0,4,27,33,1,5,53,2,2
24,7,9,5,14,1,27,0,3,41,39,2,5,25,2,0
24,8,3,1,1,1,8,0,0,6,11,1,2,7,0,0
24,9,1,0,1,1,0,0,0,0,2,0,0,0,0,0
24,10,2,2,6,3,8,0,3,12,18,0,2,13,0,0
24,11,4,6,13,2,26,1,4,19,22,2,3,13,4,0
24,12,0,0,2,2,0,0,1,1,5,0,0,1,0,0
24,13,3,5,16,4,20,1,0,19,80,0,10,28,1,0
24,14,2,4,12,1,18,0,0,22,49,0,5,20,0,0
24,15,0,2,12,7,14,0,1,20,27,0,3,6,1,0
24,16,0,0,1,1,12,0,2,21,7,0,2,39,0,0
24,17,1,3,14,4,20,2,5,35,22,0,3,56,0,1
24,18,0,2,15,1,11,2,2,33,19,0,10,25,0,1
24,19,0,1,12,0,23,0,1,60,21,0,3,40,1,0
24,20,0,1,18,5,17,0,3,43,43,0,9,24,0,1
24,21,1,2,29,6,14,1,0,45,45,0,8,28,0,0
24,22,0,2,18,3,17,0,1,54,38,0,3,24,1,0
24,23,0,1,2,0,1,0,0,8,1,0,3,12,0,0
24,24,1,0,14,3,13,0,3,68,30,1,6,37,1,0
24,25,0,7,21,1,9,0,1,47,25,0,4,45,0,0
24,26,3,4,3,1,11,1,1,12,15,0,3,19,0,0
24,27,0,2,11,10,30,0,0,7,155,0,8,12,0,1
24,28,0,4,8,8,16,0,2,35,73,0,3,18,1,0
24,29,1,5,14,10,29,0,0,9,118,0,14,20,1,0
24,30,3,9,14,7,33,2,1,16,111,0,6,28,2,0
24,31,2,2,7,1,24,0,0,9,29,0,5,17,1,0
24,32,0,1,6,1,7,0,0,14,36,0,1,19,0,0
24,33,0,0,11,5,15,0,1,30,63,0,2,27,0,0
24,34,0,0,2,1,7,0,0,32,37,0,1,20,0,0
24,35,1,3,9,3,33,0,0,20,42,0,6,28,0,0
24,36,3,1,9,2,7,0,0,9,21,0,4,12,0,0
24,37,2,1,4,0,19,0,0,10,32,0,7,20,0,0
24,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,39,0,0,0,0,0,0,0,4,4,1,0,0,0,1
24,40,4,10,6,5,48,1,2,26,92,0,6,26,1,0
24,41,0,1,5,1,2,0,0,1,5,0,1,4,0,0
24,42,3,7,5,1,7,0,2,10,18,0,2,22,0,0
24,43,13,11,9,3,40,2,1,25,51,2,8,17,0,0
24,44,5,4,5,4,18,2,1,19,36,0,3,26,0,0
24,45,0,0,6,3,33,2,0,29,37,0,2,18,0,0
24,46,6,4,5,1,31,0,0,19,57,0,2,13,1,0
24,47,4,8,8,0,28,0,4,7,28,0,7,32,0,0
24,48,0,0,0,0,0,0,1,0,1,0,0,1,0,0
24,49,0,8,21,8,47,0,1,32,61,0,13,35,0,0
24,50,2,1,5,1,14,0,1,12,24,0,1,23,0,0
24,51,5,7,5,3,23,0,3,19,38,3,8,30,2,0
24,52,2,12,10,0,26,0,1,17,15,0,5,24,0,0
24,53,2,12,10,2,20,0,2,20,46,1,6,20,2,0
24,54,1,20,19,2,25,0,5,14,73,2,6,33,1,0
24,55,12,10,14,1,23,0,4,11,58,0,5,26,0,0
