ad,ed,silwa,mateo,writein
23,1,90,21,1
23,2,109,23,3
23,3,57,31,3
23,4,6,3,1
23,5,57,11,1
23,6,46,12,2
23,7,60,8,1
23,8,49,17,3
23,9,35,12,5
23,10,50,14,1
23,11,43,7,5
23,12,20,10,1
23,13,28,10,3
23,14,57,12,5
23,15,18,4,0
23,16,23,3,0
23,17,17,4,0
23,18,3,1,0
23,19,2,7,1
23,20,0,0,0
23,21,14,5,2
23,22,0,0,0
23,23,4,1,0
23,24,2,0,0
23,25,29,10,1
23,26,7,1,0
23,27,33,7,5
23,28,16,1,8
23,29,2,2,0
23,30,9,1,4
23,31,7,5,1
23,32,0,0,0
23,33,0,2,1
23,34,0,0,1
23,35,14,3,1
23,36,19,3,2
23,37,20,12,1
23,38,0,0,0
23,39,26,7,3
23,40,63,37,0
23,41,53,25,2
23,42,4,0,0
23,43,4,1,0
23,44,47,20,2
23,45,74,28,1
23,46,49,34,3
23,47,28,16,1
23,48,25,18,1
23,49,60,34,1
23,50,40,28,0
23,51,56,31,4
23,52,45,26,2
23,53,22,12,0
23,54,13,16,0
23,55,13,6,1
23,56,16,3,0
23,57,6,3,1
23,58,17,5,0
23,59,14,3,0
23,60,10,5,0
23,61,35,13,1
23,62,30,8,2
23,63,11,9,0
23,64,39,21,2
23,65,18,8,3
23,66,5,6,0
23,67,4,2,0
23,68,0,0,3
23,69,7,7,0
23,70,10,2,1
23,71,0,0,0
23,72,0,0,0
23,73,0,0,0
23,74,0,0,0
23,75,0,0,0
23,76,0,0,0
23,77,0,0,0
23,78,0,0,0
23,79,0,0,0
23,80,0,0,0
23,81,0,0,0
23,82,0,0,0
23,83,0,0,0
23,84,12,3,3
23,85,23,1,3
23,86,15,5,0
23,87,10,6,1
23,88,9,3,1
23,89,17,2,0
23,90,30,23,5
23,91,0,2,0
23,92,31,10,2
23,93,6,2,0
24,1,19,6,0
24,2,25,7,1
24,3,22,6,1
24,4,11,2,0
24,5,16,4,1
24,6,37,7,0
24,7,16,3,0
24,8,2,1,0
24,9,1,0,0
24,10,13,1,0
24,11,9,1,0
24,12,2,0,0
24,13,12,1,0
24,14,11,5,0
24,15,17,4,1
24,16,5,4,1
24,17,21,2,7
24,18,11,5,1
24,19,22,7,0
24,20,23,7,2
24,21,16,3,1
24,22,19,8,1
24,23,1,1,0
24,24,15,4,1
24,25,13,4,0
24,26,4,3,1
24,27,2,3,0
24,28,15,2,1
24,29,2,1,0
24,30,4,1,0
24,31,5,1,0
24,32,5,2,1
24,33,38,6,4
24,34,18,2,0
24,35,5,1,1
24,36,2,1,0
24,37,3,0,1
24,38,2,0,0
24,39,2,0,0
24,40,8,3,0
24,41,3,4,0
24,42,3,0,0
24,43,5,1,1
24,44,5,4,0
24,45,7,2,0
24,46,7,1,0
24,47,5,2,0
24,48,0,0,0
24,49,9,7,1
24,50,9,4,0
24,51,0,0,0
24,52,4,1,0
24,53,9,5,2
24,54,4,2,0
24,55,0,0,0
24,56,0,1,0
24,57,1,1,0
24,58,1,0,0
24,59,2,4,1
24,60,0,0,0
24,61,10,4,0
24,62,1,0,0
24,63,0,0,0
24,64,0,0,0
24,65,1,2,0
24,66,3,0,0
24,67,1,3,0
24,68,8,5,0
24,69,2,1,0
24,70,5,2,0
24,71,1,0,0
24,72,5,0,0
24,73,4,0,0
24,74,1,0,0
24,75,4,1,0
24,76,2,0,0
24,77,3,3,0
24,78,5,0,0
24,79,0,2,0
24,80,0,0,0
24,81,0,0,0
24,82,0,0,0
24,83,0,0,0
24,84,10,5,1
24,85,6,1,0
24,86,4,1,0
24,87,0,1,0
24,88,4,0,0
24,89,18,5,0
24,90,2,0,0
24,91,5,0,0
25,1,4,1,0
25,2,1,0,0
25,3,8,3,0
25,4,12,3,1
25,5,2,1,0
25,6,8,5,1
25,7,5,1,0
25,8,9,0,0
25,9,6,0,1
25,10,5,1,1
25,11,23,1,1
25,12,8,1,2
25,13,8,11,0
25,14,18,5,0
25,15,5,7,3
25,16,7,2,0
25,17,9,2,0
25,18,6,2,0
25,19,5,0,0
25,20,7,3,1
25,21,10,6,0
25,22,15,3,0
25,23,7,2,0
25,24,12,10,3
25,25,17,4,0
25,26,0,1,0
25,27,13,1,2
25,28,12,1,6
25,29,16,8,3
25,30,18,6,0
25,31,4,3,0
25,32,14,9,1
25,33,7,9,0
25,34,1,1,0
25,35,14,9,0
25,36,8,7,0
25,37,22,2,0
25,38,9,6,0
25,39,22,5,2
25,40,18,4,0
25,41,4,0,0
25,42,5,11,0
25,43,13,3,0
25,44,12,6,0
25,45,5,5,3
25,46,3,0,0
25,47,5,3,0
25,48,3,5,0
25,49,5,3,4
25,50,3,2,0
25,51,2,7,1
25,52,8,2,0
25,53,4,2,0
25,54,6,2,1
25,55,2,3,1
25,56,4,2,0
25,57,10,6,0
25,58,11,9,0
25,59,3,5,0
25,60,11,0,0
25,61,15,2,1
25,62,1,4,0
25,63,4,2,0
25,64,15,7,1
25,65,12,0,0
25,66,0,0,0
25,67,0,0,0
25,68,2,4,0
25,69,9,5,0
25,70,3,0,0
25,71,4,4,2
25,72,3,4,2
25,73,10,7,2
25,74,4,1,0
25,75,6,3,0
25,76,8,2,0
25,77,14,5,2
25,78,12,3,0
25,79,6,1,1
26,1,16,5,1
26,2,6,0,0
26,3,33,11,3
26,4,24,16,0
26,5,27,5,0
26,6,22,9,0
26,7,22,13,0
26,8,44,10,0
26,9,39,18,3
26,10,30,9,1
26,11,61,25,0
26,12,42,16,3
26,13,24,20,0
26,14,55,20,0
26,15,51,18,0
26,16,23,6,1
26,17,30,12,0
26,18,61,17,0
26,19,14,6,0
26,20,24,10,1
26,21,12,6,1
26,22,29,6,0
26,23,18,8,0
26,24,12,5,1
26,25,17,4,1
26,26,16,4,0
26,27,15,5,0
26,28,40,14,3
26,29,27,13,1
26,30,29,13,1
26,31,40,7,1
26,32,15,21,0
26,33,21,7,1
26,34,28,11,4
26,35,23,19,3
26,36,7,1,0
26,37,19,4,1
26,38,0,0,0
26,39,6,4,0
26,40,6,6,0
26,41,7,2,0
26,42,21,3,2
26,43,6,5,1
26,44,8,2,0
26,45,19,8,1
26,46,22,10,0
26,47,21,7,1
26,48,17,5,2
26,49,9,13,1
26,50,15,1,0
26,51,3,5,0
26,52,21,9,1
