ad,ed,silwa,mateo,writein_rep,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein_dem
23,32,0,0,0,0,1,4,3,17,0,1,9,71,0,2,1,0,1
24,51,0,0,0,5,7,5,3,23,0,3,19,38,3,8,30,2,0
24,55,0,0,0,12,10,14,1,23,0,4,11,58,0,5,26,0,0
24,64,0,0,0,2,4,4,1,8,0,1,2,24,0,1,6,0,0
27,40,0,0,0,1,3,18,4,11,1,0,11,46,0,1,18,2,1
29,14,0,0,0,3,3,4,6,24,0,2,6,97,1,6,2,0,0
29,20,0,0,0,0,2,5,10,13,0,0,2,87,0,3,8,2,0
29,21,0,0,0,1,2,3,4,29,0,1,2,105,0,3,6,0,0
29,22,0,0,0,1,1,4,5,35,0,0,3,105,1,2,2,2,0
29,29,0,0,0,1,1,9,6,39,0,0,7,182,1,3,7,1,0
29,30,0,0,0,0,3,10,8,47,0,0,9,159,0,4,8,0,0
29,32,0,0,0,2,0,10,4,25,0,0,3,146,0,6,8,2,0
29,33,0,0,0,1,4,12,6,44,0,0,9,141,1,1,9,0,0
29,36,0,0,0,4,3,3,1,9,0,1,4,36,0,3,15,0,0
29,40,0,0,0,0,1,4,4,26,0,2,2,92,0,3,6,0,0
29,42,0,0,0,0,1,1,6,21,0,0,6,99,2,5,6,1,0
29,46,0,0,0,0,1,7,2,23,0,0,2,87,1,3,13,0,1
29,52,0,0,0,0,1,9,8,27,0,0,5,140,0,4,4,0,0
29,56,0,0,0,0,1,2,2,21,0,0,3,109,0,4,5,1,0
29,57,0,0,0,0,2,6,6,30,1,1,8,149,1,7,12,0,0
29,60,0,0,0,0,1,6,6,48,0,1,8,194,1,7,10,1,0
29,63,0,0,0,0,2,7,14,38,1,1,9,171,0,4,5,0,0
29,64,0,0,0,0,0,5,11,34,0,0,2,132,0,3,10,0,1
29,65,0,0,0,0,1,8,12,42,0,0,13,155,1,5,3,1,0
29,69,0,0,0,1,0,0,2,22,0,0,0,56,0,1,0,0,0
29,70,0,0,0,0,4,7,7,20,0,0,6,95,0,3,2,0,0
29,75,0,0,0,0,1,2,7,32,0,0,1,144,0,3,6,0,0
29,77,0,0,0,2,0,3,0,43,0,0,2,110,2,1,6,1,0
29,78,0,0,0,1,4,1,5,20,0,1,5,69,2,2,4,0,0
29,80,0,0,0,1,1,1,9,25,0,1,2,112,0,0,9,0,0
31,16,0,0,0,1,0,3,9,12,0,0,4,48,0,3,8,0,0
31,35,0,0,0,0,0,3,1,15,0,1,2,68,0,3,1,0,0
31,42,0,0,0,0,0,4,9,22,0,1,2,93,1,1,4,0,0
31,44,0,0,0,0,0,3,3,26,0,0,1,85,1,3,4,1,0
31,46,0,0,0,1,0,3,9,19,0,0,2,71,1,2,6,0,0
31,49,0,0,0,0,6,6,3,35,1,0,12,127,1,2,6,0,0
31,53,0,0,0,2,2,1,2,21,0,0,1,84,0,3,6,1,0
31,55,0,0,0,3,6,4,8,26,1,0,5,89,1,3,5,1,1
31,62,0,0,0,1,5,1,3,12,0,1,6,49,0,2,7,0,0
31,64,0,0,0,0,2,4,6,25,0,0,3,115,1,4,8,2,0
31,79,0,0,0,1,6,1,3,24,1,0,5,73,0,3,9,0,0
31,84,0,0,0,0,1,1,4,25,1,0,1,121,0,0,3,0,5
31,85,0,0,0,0,0,2,2,21,0,0,5,78,0,3,4,0,0
32,23,0,0,0,1,2,1,4,26,0,1,4,85,1,2,9,2,0
32,24,0,0,0,1,7,0,3,13,0,1,3,63,1,1,11,0,0
32,25,0,0,0,1,3,1,6,16,0,0,0,88,0,2,17,1,0
32,27,0,0,0,1,2,6,2,17,0,0,2,86,2,10,8,2,0
32,30,0,0,0,2,4,3,12,31,0,1,3,119,1,3,6,0,0
32,33,0,0,0,3,2,7,7,18,0,0,6,95,2,4,9,0,0
32,42,0,0,0,0,1,5,0,15,1,0,4,105,0,2,3,0,0
32,43,0,0,0,4,3,5,3,16,0,1,0,130,0,3,11,1,0
32,44,0,0,0,0,0,3,3,11,0,0,0,50,0,1,3,0,0
32,47,0,0,0,0,3,2,10,30,0,0,3,89,1,1,2,0,0
32,48,0,0,0,0,0,4,7,20,0,0,5,87,1,5,1,0,0
32,50,0,0,0,1,2,6,2,19,0,2,1,108,0,3,2,1,0
32,51,0,0,0,1,0,1,3,21,0,1,3,108,2,1,5,0,0
32,52,0,0,0,1,1,3,5,25,0,1,4,99,1,1,6,0,0
32,53,0,0,0,0,0,4,12,13,2,0,6,97,0,7,10,0,2
32,54,0,0,0,1,1,4,8,11,0,1,4,92,0,6,5,1,0
32,56,0,0,0,1,1,4,1,4,0,0,0,38,0,0,3,1,0
32,57,0,0,0,1,2,10,4,42,0,0,6,118,3,5,2,0,0
32,61,0,0,0,0,2,3,5,20,0,0,4,80,1,3,1,1,2
32,66,0,0,0,0,0,0,7,10,0,0,2,64,2,1,3,0,0
32,69,0,0,0,0,2,10,9,35,0,0,6,214,1,3,7,0,0
32,71,0,0,0,0,1,3,8,21,0,0,1,157,0,7,4,0,0
